;R;alfa;beta;gamma1;So;Uo;Qo;Co;NSE;RMSE;MARE;Estados
0;17.70786896415748;0.2526421548781708;0.11258720291372615;0.014267225231310673;741961.6974379739;4273.221208513263;667.5345485702403;1335.000000000085;0.9944346469951244;55.77729718013264;0.020611694865168076;AC
1;8.80601824787683;0.1777777777777826;0.10000000000000059;0.02018821364816563;2720000.0;6516.0;1778.0332879473676;2171.9999999990005;0.991658921925074;99.75990218163142;0.024625535594166886;AL
2;12.576873381715846;0.177777777777779;0.1;0.014135292006376629;3312000.0000000023;35775.00000000001;10871.635733482439;11924.999999999001;0.9922786929121618;454.81097041395856;0.017285106766033703;AM
3;24.20142718723834;0.24836624196832885;0.10002700819303662;0.010262462624489141;686486.4455756051;7689.7687888113105;1748.0818375204315;2492.9999999990087;0.9896834234124339;109.3091281724751;0.025198147558641044;AP
4;10.588303192321979;0.1785579629396996;0.11774398226120342;0.016863699470674343;11948206.081276037;16874.38428970155;3637.2912090122722;5173.999999999011;0.9706261990443618;443.6553886252824;0.03982821970843696;BA
5;13.435930281822206;0.17891274127992313;0.11663410331489693;0.013315992084446768;169233561.97667927;493027.14235523983;86560.46848129114;155938.99999999907;0.9939591941569181;4706.683113525092;0.016530384052995263;Brazil
6;11.951168181498604;0.1777777777779001;0.1;0.014875347336598843;7304000.000003661;47637.00023883152;10794.174923948343;15878.999999999001;0.9909350020581456;591.9915580175121;0.019107431091978908;CE
7;10.225054956792437;0.17785270934678288;0.1;0.017393814517215528;2481045.295387621;7732.406826191644;2011.3203668527008;2575.999999999001;0.9900365265220117;117.62390366983394;0.023864182591608326;DF
8;11.286897042403917;0.1777777777777782;0.1;0.01575081061782367;3216000.000000001;13236.00000000003;2771.4944028842974;4411.9999999990005;0.9957290842099904;112.81581996136234;0.014358856651532451;ES
9;11.037681827133058;0.17778417935562452;0.1;0.016107021577537392;5616202.225844178;3207.0;641.6661523882103;1068.9999999990002;0.9653810133658467;81.38483465309652;0.037238166470590243;GO
10;9.008896264744786;0.17778873254531571;0.10002193364644196;0.019734796285874684;5664349.018893758;20295.53312681161;6997.8188777342075;6764.9999999990005;0.9976945441734689;172.82973512230643;0.012017893793860637;MA
11;16.06586765473862;0.178404043850456;0.10665268402915767;0.011104538371933856;16995661.23741369;9560.352679594367;1613.252091528876;3122.9999999990005;0.9930408992822167;82.56299256031242;0.013540298137816207;MG
12;8.523049777464802;0.1777777777793231;0.1;0.020858469963342563;2240000.0000032787;1038.0;219.0786780792463;345.99999999900007;0.995404063942675;10.895929543606005;0.01699809026392283;MS
13;8.8751580867843;0.17779514563357596;0.1;0.020032899008111726;2792272.7621753104;1506.6127151754172;447.29319257923476;501.99999999900007;0.9917297702003622;23.672818015365124;0.021521654976772896;MT
14;5.186943116634954;0.17777777777777787;0.10000000000000003;0.034274094351956524;6880000.000000001;20325.000000000004;7854.038400835754;6774.9999999990005;0.9941964506808615;386.20949912575213;0.023204294399817887;PA
15;4.576418470826475;0.17777777777791293;0.10000000000000003;0.03884648637601694;3216000.0000024443;6468.0;2279.4516535685334;2155.9999999990005;0.9983507842813875;67.17241358147254;0.012819460012954333;PB
16;12.504658364799733;0.17777777777777903;0.1;0.014216924012751805;7680000.000000009;37410.0;7486.357399926944;12469.999999999001;0.9906401615956093;438.5910191777421;0.019696312142662487;PE
17;9.06460026528306;0.1778411046022123;0.1;0.019619299185572953;2640940.403342853;3712.72085210727;1120.964622919976;1232.9999999990002;0.9910552170136225;60.52047147709147;0.021193139966053084;PI
18;17.777777777777864;0.17777777777777878;0.10000000000000003;0.010000000000000009;9144000.00000005;5355.000000000001;892.5;1784.9999999990002;0.7463819818784934;203.96948126880255;0.07971381169004532;PR
19;17.71199181656692;0.2016476458783535;0.1;0.01138480911501677;15105073.36827891;52192.62841449179;8464.5;16928.999999999003;0.9540606449027274;1319.7035458683058;0.04944069409093951;RJ
20;9.61391929527695;0.17777777777779943;0.1;0.018491706900965632;2808000.000000041;5757.00000011472;1249.032141956767;1918.9999999990002;0.9839782671261479;108.88760914016227;0.029509303215234695;RN
21;9.183300544893443;0.17777777777808718;0.1;0.01935881080108437;1424000.0000024778;3789.000000005307;772.74137431703;1262.9999999990002;0.9946984093236896;40.1620317421846;0.017085934831302572;RO
22;16.7185317676931;0.17797809188908634;0.1;0.010645557538312742;488549.86223554186;3666.248606681691;708.2209832337667;1201.99999999915;0.988514658154553;40.29978873440672;0.020134461421981966;RR
23;14.899257410703175;0.21369559069030267;0.1113860853221584;0.014342700766871122;9221815.511610167;8058.919685278077;1274.5237051502158;2492.999999999013;0.9596445679208258;243.94795543808428;0.04769267684871684;RS
24;16.616635297167225;0.177777777778185;0.1;0.010698783153078664;5728000.0;10116.000035917563;1776.7021016978592;3371.9999999990005;0.9788050098669047;148.0747607579548;0.02724197062814202;SC
25;6.00446723989299;0.17789519469245865;0.1022106791119452;0.029627140524731893;1841215.2650669469;4778.745485835841;2018.9499289213031;1587.9999999990007;0.9880058212451933;127.70443073856819;0.03213408802503894;SE
26;17.777777777777775;0.1777777777777779;0.10000000000000003;0.010000000000000009;36736000.000000015;133233.00000000003;22205.5;44410.99999999901;0.9622752618524435;2219.0805575298773;0.03104972464869339;SP
27;5.4050458069452905;0.1822542189522663;0.10000891371884718;0.03371927370496586;1280136.9629265345;2140.0009352725247;941.0820047977907;572.0000000003381;0.9992263314461768;15.405579925540325;0.009355797553955575;TO
