datetime;GO
2020-03-27;5.078037448954864
2020-03-28;3.5915192162890888
2020-03-29;2.3565416551993015
2020-03-30;1.6984920760079016
2020-03-31;1.209279810317653
2020-04-01;1.1141824252721
2020-04-02;4.273233683082983
2020-04-03;4.698242257157181
2020-04-04;5.109295343094007
2020-04-05;10.997214849626195
2020-04-06;8.832533199427605
2020-04-07;5.508134287953688
2020-04-08;8.152513380854206
2020-04-09;10.686154127948006
2020-04-10;3.20704206415946
2020-04-11;3.81147044331958
2020-04-12;3.9031946379620983
2020-04-13;4.407760030196945
2020-04-14;2.9625513976746487
2020-04-15;4.127333172708293
2020-04-16;3.5787410877337402
2020-04-17;4.575054782790926
2020-04-18;7.952276741609981
2020-04-19;8.289718873952555
2020-04-20;7.498709670726844
2020-04-21;9.940719499788997
2020-04-22;12.442523766570137
2020-04-23;16.138048353546147
2020-04-24;17.77777777777693
2020-04-25;17.777777777794352
2020-04-26;17.980619424237577
2020-04-27;18.616106750785182
2020-04-28;16.435063493436182
2020-04-29;17.211708184011584
2020-04-30;15.176956585667243
2020-05-01;9.53976066253313
2020-05-02;9.913664757232969
2020-05-03;10.957151831220017
2020-05-04;14.58661935528453
2020-05-05;17.77777777777779
2020-05-06;17.48766073195296
2020-05-07;17.951805848794788
2020-05-08;17.777777777891586
2020-05-09;17.77777777778902
2020-05-10;17.777777777777622
2020-05-11;17.77777777783172
2020-05-12;17.7777777777778
2020-05-13;17.777777777778333
2020-05-14;17.777777777778002
2020-05-15;17.777777777778386
2020-05-16;17.777777777797283
2020-05-17;19.571918794820686
2020-05-18;20.595012904640395
2020-05-19;19.84474174575131
2020-05-20;17.98853574127807
2020-05-21;15.126627568350347
2020-05-22;11.386866076202853
2020-05-23;11.044061722102102
