datetime;PB
2020-04-02;1.1994214161412047
2020-04-03;2.123386469554354
2020-04-04;1.4037767835568733
2020-04-05;0.9925212875119057
2020-04-06;1.1315943804546453
2020-04-07;0.8888888889601188
2020-04-08;1.1321636600984217
2020-04-09;4.056020995742728
2020-04-10;12.166939169357844
2020-04-11;14.880067694670998
2020-04-12;14.984128169572813
2020-04-13;5.9935023495747854
2020-04-14;4.559876640003282
2020-04-15;3.21311548521461
2020-04-16;2.0711049462657085
2020-04-17;2.9803842179043816
2020-04-18;2.5499448728651775
2020-04-19;3.1242481036065852
2020-04-20;1.4509251178196496
2020-04-21;1.5990204831277295
2020-04-22;2.1167082919619635
2020-04-23;6.415795705794193
2020-04-24;4.750999613475907
2020-04-25;10.796106725899374
2020-04-26;11.013987215110847
2020-04-27;7.026287807597641
2020-04-28;5.469869242410924
2020-04-29;7.289665618931748
2020-04-30;5.000505589298978
2020-05-01;3.3486415688548394
2020-05-02;3.1779104285054065
2020-05-03;2.3678064206714944
2020-05-04;3.376966396530279
2020-05-05;2.1617105939712413
2020-05-06;0.975421447395312
2020-05-07;2.051967867764002
2020-05-08;5.362869171302912
2020-05-09;4.18964042193714
2020-05-10;2.990446766213067
2020-05-11;2.342637742477724
2020-05-12;2.7413777344684327
2020-05-13;3.019210019119292
2020-05-14;3.305645744319161
2020-05-15;3.654614919094252
2020-05-16;3.5766508770355134
2020-05-17;3.9739556576160537
2020-05-18;4.175887351088384
2020-05-19;4.5381475662548505
2020-05-20;4.631393110810894
2020-05-21;4.401600429606628
2020-05-22;5.084713777454938
2020-05-23;4.576418470823693
