datetime;MT
2020-04-03;1.8888518748996317
2020-04-04;4.036545286836269
2020-04-05;2.2520409481193986
2020-04-06;2.333893901246776
2020-04-07;2.306192118820874
2020-04-08;4.04890227782812
2020-04-09;1.832749547853684
2020-04-10;4.062523587957747
2020-04-11;1.5852256082391516
2020-04-12;1.2011488781102153
2020-04-13;0.9076257931563391
2020-04-14;4.8274718127477865
2020-04-15;5.470495750978687
2020-04-16;7.75794354939135
2020-04-17;13.073820447782602
2020-04-18;16.858680270071773
2020-04-19;17.77777777778119
2020-04-20;17.777777777777768
2020-04-21;17.777777777781907
2020-04-22;17.777777777777768
2020-04-23;17.77777777793173
2020-04-24;18.655396068874243
2020-04-25;20.018473388665463
2020-04-26;18.061436322001743
2020-04-27;16.009272512844017
2020-04-28;17.777777777887522
2020-04-29;17.53688706348562
2020-04-30;17.661795330304983
2020-05-01;17.184713502117138
2020-05-02;17.53180891998978
2020-05-03;17.796763653459735
2020-05-04;17.777777777777768
2020-05-05;17.7777777777927
2020-05-06;17.777777778005888
2020-05-07;17.777777777777704
2020-05-08;17.777777777777487
2020-05-09;18.640358999084857
2020-05-10;21.470638009897435
2020-05-11;11.997565871010194
2020-05-12;12.334050615019574
2020-05-13;20.50286276787544
2020-05-14;12.527733849258793
2020-05-15;15.6625754666391
2020-05-16;9.604301347831091
2020-05-17;6.608795924724606
2020-05-18;7.226782908680246
2020-05-19;7.969144265695624
2020-05-20;9.148912005245448
2020-05-21;8.821764740711506
2020-05-22;9.308721388833755
2020-05-23;8.878200232139012
