datetime;MG
2020-03-22;3.7966421839718936
2020-03-23;4.217982796586703
2020-03-24;3.5391662605501812
2020-03-25;3.668654178910585
2020-03-26;4.475740991024211
2020-03-27;4.24201507373549
2020-03-28;4.342463120468095
2020-03-29;4.313334363987486
2020-03-30;1.9159397863956766
2020-03-31;1.238406473821367
2020-04-01;2.0
2020-04-02;1.7065117928591857
2020-04-03;1.4469774182239765
2020-04-04;1.4465390449372697
2020-04-05;1.203816656345347
2020-04-06;1.106377930328354
2020-04-07;0.8238212440286302
2020-04-08;1.1091050350846838
2020-04-09;1.6499549794336095
2020-04-10;1.6970633143495923
2020-04-11;1.6959309101877695
2020-04-12;2.1441036670490803
2020-04-13;3.0355193891359353
2020-04-14;2.6199333123284525
2020-04-15;3.6770173460188116
2020-04-16;4.483316427054696
2020-04-17;4.499870849842152
2020-04-18;5.930198231470059
2020-04-19;6.639751986934473
2020-04-20;4.593959149865597
2020-04-21;5.759042864017078
2020-04-22;5.471335661442727
2020-04-23;6.0361322790204435
2020-04-24;6.040443558535516
2020-04-25;9.123905137336205
2020-04-26;6.357989840552915
2020-04-27;9.095778170327344
2020-04-28;7.571642165590401
2020-04-29;10.089438556326908
2020-04-30;7.113256464162739
2020-05-01;4.888475162530525
2020-05-02;6.0306263531633135
2020-05-03;4.202954115806981
2020-05-04;7.434386822743616
2020-05-05;10.007959297663035
2020-05-06;3.281383342443339
2020-05-07;4.952036192941657
2020-05-08;5.135994046413949
2020-05-09;1.8336341389177084
2020-05-10;4.012280855254221
2020-05-11;3.622291268036407
2020-05-12;4.849479332200138
2020-05-13;5.504330824663163
2020-05-14;5.727862157276512
2020-05-15;5.136105152534068
2020-05-16;4.636284649732315
2020-05-17;5.185803695624704
2020-05-18;5.685420947209612
2020-05-19;6.906227894540748
2020-05-20;4.785329989707708
2020-05-21;9.41051467831693
2020-05-22;3.716317296374506
2020-05-23;3.899995023036243
