datetime;CE
2020-03-31;3.420324899426472
2020-04-01;2.7500312351324325
2020-04-02;2.048093550389119
2020-04-03;2.0694013778061198
2020-04-04;1.8614207122442927
2020-04-05;1.7471832031755916
2020-04-06;1.7463608764837453
2020-04-07;1.7464877041956441
2020-04-08;1.7461854363332385
2020-04-09;1.745944538352532
2020-04-10;1.7464297531425892
2020-04-11;1.746587074086296
2020-04-12;1.7809675482021206
2020-04-13;1.747083845190673
2020-04-14;1.849671748959608
2020-04-15;1.9646981956323337
2020-04-16;1.7856361440269168
2020-04-17;1.7402478736040337
2020-04-18;1.7748269274642503
2020-04-19;1.772343377322823
2020-04-20;1.7462368069039123
