datetime;SP
2020-03-11;2.0000000000000004
2020-03-12;2.0000000000000004
2020-03-13;
2020-03-14;2.0000000000000004
2020-03-15;1.9999999999999978
2020-03-16;
2020-03-17;
2020-03-18;
2020-03-19;1.9999999999999973
2020-03-20;2.0000000000000004
2020-03-21;2.0000000000000004
2020-03-22;2.0000000000000004
2020-03-23;2.0000000000000004
2020-03-24;
2020-03-25;2.0000000000000004
2020-03-26;2.0000000000000004
2020-03-27;2.0000000000000004
2020-03-28;2.0000000000000004
2020-03-29;1.3154059755361105
2020-03-30;0.8244312052116893
2020-03-31;1.7185307681858721
2020-04-01;1.458710102553264
2020-04-02;1.223731695047989
2020-04-03;1.108407772099202
2020-04-04;0.9039451698133204
2020-04-05;0.8518644447796582
2020-04-06;1.010445507328658
2020-04-07;0.7092398143167051
2020-04-08;1.1236126966330744
2020-04-09;0.9731182223782622
2020-04-10;1.3210975695265408
2020-04-11;0.952761414281023
2020-04-12;1.3909776379549832
2020-04-13;1.1833535403590505
2020-04-14;2.5918037766064432
2020-04-15;2.250663899570185
2020-04-16;2.815730591994539
2020-04-17;2.5171600617986876
2020-04-18;3.139611608690692
2020-04-19;4.568771539926142
2020-04-20;3.933931849872554
2020-04-21;3.9629617566220627
2020-04-22;4.149194277603824
2020-04-23;5.012979837655315
2020-04-24;5.45969995444072
2020-04-25;4.713992443264116
2020-04-26;3.9813387160870275
2020-04-27;3.765962104562351
2020-04-28;5.643930297061137
2020-04-29;3.8153046827118913
2020-04-30;7.0279684802818485
2020-05-01;7.794221044998575
2020-05-02;1.3998828984843246
2020-05-03;3.750805262166313
2020-05-04;3.8938738247546243
2020-05-05;5.098778300093011
2020-05-06;5.38480158628326
2020-05-07;6.173434138441274
2020-05-08;7.6387988056580856
2020-05-09;5.1382200604429755
2020-05-10;4.454786135630673
2020-05-11;6.88134113317588
2020-05-12;7.593231662212811
2020-05-13;8.071006092920005
2020-05-14;4.047582415239872
2020-05-15;10.095100214253574
2020-05-16;5.2178329884706045
2020-05-17;5.9519215572322235
2020-05-18;9.008722680800734
2020-05-19;7.873261123749652
2020-05-20;7.11603476646563
2020-05-21;7.757060972050939
2020-05-22;6.855487706675917
2020-05-23;8.971986086765398
