datetime;DF
2020-03-21;0.4068796346099024
2020-03-22;0.5421615711579788
2020-03-23;0.5630448536506902
2020-03-24;0.7634758581746297
2020-03-25;1.0310796350805491
2020-03-26;1.4704145042289039
2020-03-27;2.1343003176907773
2020-03-28;1.220953531640668
2020-03-29;2.288790720086583
2020-03-30;2.5953450857325038
2020-03-31;1.5865076273560401
2020-04-01;3.9539551243802458
2020-04-02;2.544969535489596
2020-04-03;1.3539806721001693
2020-04-04;1.213048910493419
2020-04-05;1.2752911515143266
2020-04-06;1.7409702862547105
2020-04-07;1.1882675231920796
2020-04-08;1.6255495503696675
2020-04-09;1.0584107441457258
2020-04-10;1.019171141502972
2020-04-11;0.9505912599382409
2020-04-12;1.7351761025381265
2020-04-13;0.8669997267027725
2020-04-14;1.46577014491573
2020-04-15;1.4873258256063249
2020-04-16;1.0875409957741171
2020-04-17;0.9038658091259801
2020-04-18;0.9737629287115643
2020-04-19;0.9876210486726222
2020-04-20;0.9714396727092334
