datetime;TO
2020-04-02;0.49999687416422617
2020-04-03;0.48608704254973806
2020-04-04;0.8467185088949217
2020-04-05;1.6630535869377558
2020-04-06;3.1941339630483956
2020-04-07;4.89795387213336
2020-04-08;6.000063702884485
2020-04-09;4.75422873002552
2020-04-10;4.856563185650385
2020-04-11;2.066032008755084
2020-04-12;2.7940065048202305
2020-04-13;3.9055774313271674
2020-04-14;4.714583247927581
2020-04-15;6.731118245169397
2020-04-16;8.129148335452964
2020-04-17;9.437697595873898
2020-04-18;8.037898033122723
2020-04-19;9.296579841031338
2020-04-20;9.840608591210124
2020-04-21;8.359682759846057
2020-04-22;11.777791863902083
2020-04-23;8.021892149945261
2020-04-24;5.58858053918018
2020-04-25;6.319543795808728
2020-04-26;6.072494806868077
2020-04-27;5.639358280686635
2020-04-28;6.856322809460969
2020-04-29;8.603100785912078
2020-04-30;1.2312725014102432
2020-05-01;20.32762136345789
2020-05-02;7.161169463698946
2020-05-03;5.731428707440967
2020-05-04;2.21834638859165
2020-05-05;2.721715210946693
2020-05-06;2.0092331603811475
2020-05-07;1.6104712258702623
2020-05-08;1.5707513595014815
2020-05-09;1.662250994105548
2020-05-10;1.6366182835315655
2020-05-11;1.7951090279932758
2020-05-12;1.7040041839150661
2020-05-13;2.0699322838767213
2020-05-14;1.696518651585398
2020-05-15;2.059515460325842
2020-05-16;1.4189288080163915
2020-05-17;2.5837798960617917
2020-05-18;1.4475774043602558
2020-05-19;1.8987978675883614
2020-05-20;2.3819563383057014
2020-05-21;2.787965029599803
2020-05-22;3.725635437967451
2020-05-23;4.035264818449157
