datetime;RJ
2020-03-19;6.08893048370434
2020-03-20;6.827165275111746
2020-03-21;6.3923020656358185
2020-03-22;7.3797642226830575
2020-03-23;5.95966268956777
2020-03-24;6.685924361137935
2020-03-25;6.439177152797032
2020-03-26;5.0480925278038
2020-03-27;3.9599930320987866
2020-03-28;3.923682762775554
2020-03-29;3.738851392221149
2020-03-30;2.6848003332722814
2020-03-31;5.297666536226161
2020-04-01;5.577488942786177
2020-04-02;4.5930160372089075
2020-04-03;2.7937442774569026
2020-04-04;5.086111151803703
2020-04-05;3.553499503390211
2020-04-06;5.490688176494533
2020-04-07;5.864341493313878
2020-04-08;6.219240106412377
2020-04-09;6.528017352121071
2020-04-10;6.481121555203028
2020-04-11;6.411449863682783
2020-04-12;5.785896273302818
2020-04-13;5.508312318670908
2020-04-14;5.457394078743069
2020-04-15;5.489256182388087
2020-04-16;5.67543688110169
2020-04-17;6.082434837370046
2020-04-18;6.720149887380433
2020-04-19;8.589485412272257
2020-04-20;9.310011057674155
2020-04-21;11.673901563923305
2020-04-22;12.922434545804192
2020-04-23;13.601992105218402
2020-04-24;16.106755867542653
2020-04-25;15.577058633762592
2020-04-26;15.752814985995084
2020-04-27;12.363512651426905
2020-04-28;12.826994974652731
2020-04-29;10.899035015343884
2020-04-30;12.04242396170314
2020-05-01;10.95226783486351
2020-05-02;12.373456015006106
2020-05-03;11.409966491232796
2020-05-04;13.134486504719176
2020-05-05;13.449996631944868
2020-05-06;13.846831043587803
2020-05-07;13.211762228601595
2020-05-08;15.574623105775753
2020-05-09;12.424617640820523
2020-05-10;14.50341892831328
2020-05-11;11.731461110710613
2020-05-12;13.26060501356225
2020-05-13;17.08351047139663
2020-05-14;17.777777777777782
2020-05-15;17.77777777791917
2020-05-16;17.777777777914668
2020-05-17;17.777777777793062
2020-05-18;17.777777778018734
2020-05-19;19.57106955314875
2020-05-20;16.719037850826723
2020-05-21;15.96167835594341
2020-05-22;16.710602952344352
2020-05-23;17.657225842855325
