datetime;Brazil
2020-03-11;0.40197697747225547
2020-03-12;0.31922045942889454
2020-03-13;0.3489684222629572
2020-03-14;0.3148350563961477
2020-03-15;0.3446222232295675
2020-03-16;0.4422052471663598
2020-03-17;0.6125179183840244
2020-03-18;0.5418291936228972
2020-03-19;0.3459966307769822
2020-03-20;0.32742184046347944
2020-03-21;0.32205060968610066
2020-03-22;0.32636449145716284
2020-03-23;0.45303721410977094
2020-03-24;0.6692059239464241
2020-03-25;1.0075740615097297
2020-03-26;1.298948881139391
2020-03-27;0.7632282504466152
2020-03-28;1.2414847795951651
2020-03-29;0.758549847370495
2020-03-30;1.0817841002983353
2020-03-31;0.6428451017085468
2020-04-01;0.7388238688925632
2020-04-02;0.5854527031212946
2020-04-03;0.5653988859654602
2020-04-04;0.5448069647549696
2020-04-05;0.36242504377768014
2020-04-06;0.4292537616126779
2020-04-07;0.5247123289860154
2020-04-08;0.5919904588783362
2020-04-09;0.5016729326061737
2020-04-10;0.4970208272251835
2020-04-11;0.5790182244876494
2020-04-12;0.809504522532535
2020-04-13;0.5434861009800596
2020-04-14;0.5016531728254057
2020-04-15;0.5335002977093568
2020-04-16;0.7117235160709807
2020-04-17;0.5321361027982991
2020-04-18;0.5716059887596776
2020-04-19;0.5016233490761248
2020-04-20;0.5016247593654359
