datetime;Brasil
2020-03-06;9.61606235962895
2020-03-07;11.502076867639442
2020-03-08;2.6104473987543684
2020-03-09;2.198523446433067
2020-03-10;2.201756202471796
2020-03-11;2.606848999933232
2020-03-12;2.672462919132657
2020-03-13;2.6215066122616375
2020-03-14;2.492484995506017
2020-03-15;2.5963820001645788
2020-03-16;2.514712811879316
2020-03-17;2.547447862039392
2020-03-18;2.5156266778435072
2020-03-19;2.5520225053807972
2020-03-20;2.621799615132076
2020-03-21;2.6000232713811
2020-03-22;2.6373132358565514
2020-03-23;2.588217008894816
2020-03-24;2.58080790056948
2020-03-25;2.5691141323524636
2020-03-26;2.565688640195116
2020-03-27;2.560861583079891
2020-03-28;2.486074559954624
2020-03-29;2.4620615654884097
2020-03-30;2.4338141279141383
2020-03-31;2.4219111392289836
2020-04-01;2.4182782401611247
2020-04-02;2.417498668483764
2020-04-03;2.4163443470250705
2020-04-04;2.352611202456218
2020-04-05;2.3305779772151887
