datetime;RO
2020-04-03;1.5647863321887547
2020-04-04;1.199858655652193
2020-04-05;4.220353989375526
2020-04-06;7.242402032663366
2020-04-07;16.716353599766183
2020-04-08;5.757803436955348
2020-04-09;16.050148313461413
2020-04-10;21.82031584199843
2020-04-11;8.278723370098707
2020-04-12;2.3276180035696723
2020-04-13;1.8066147851161964
2020-04-14;10.39514289199901
2020-04-15;5.909971024481892
2020-04-16;4.728491020090001
2020-04-17;4.089996515249124
2020-04-18;5.248172076747654
2020-04-19;3.282101575537071
2020-04-20;5.489321703519317
2020-04-21;4.009554884429969
2020-04-22;5.70408794525252
2020-04-23;3.1632844173266856
2020-04-24;2.5912251738178123
2020-04-25;1.6925067049480285
2020-04-26;1.3333429938018717
2020-04-27;1.0697267931558867
2020-04-28;1.4266604227960138
2020-04-29;1.1107555985728053
2020-04-30;1.5722003645857432
2020-05-01;4.711687653637456
2020-05-02;8.739963344124995
2020-05-03;9.177446127333786
2020-05-04;5.602312074563328
2020-05-05;4.04802713596885
2020-05-06;3.684798900153478
2020-05-07;5.585725987702045
2020-05-08;4.517160735849992
2020-05-09;2.795258646653768
2020-05-10;3.554310522268177
2020-05-11;4.4823754164047305
2020-05-12;5.790599098758621
2020-05-13;6.933317422386321
2020-05-14;8.537940074663316
2020-05-15;9.850304533146023
2020-05-16;10.791559102768927
2020-05-17;13.360236725403064
2020-05-18;17.011945142680513
2020-05-19;15.79884001188399
2020-05-20;17.12240812234558
2020-05-21;16.046894799430476
2020-05-22;10.237833260642912
2020-05-23;9.183300475212087
