datetime;AM
2020-03-29;2.1332707907598354
2020-03-30;2.1284102661483124
2020-03-31;2.229166385854904
2020-04-01;2.3162240061858195
2020-04-02;1.702936239775552
2020-04-03;2.230438758375989
2020-04-04;1.638156484478852
2020-04-05;3.8827656452822543
2020-04-06;7.809173701330643
2020-04-07;11.89489898204247
2020-04-08;24.2118910113699
2020-04-09;13.921985455245991
2020-04-10;1.9581597415163086
2020-04-11;1.4426949877585085
2020-04-12;1.2413798487477798
2020-04-13;1.801839353393533
2020-04-14;0.8888888888889087
2020-04-15;0.9089733523858889
2020-04-16;0.9148516005274598
2020-04-17;4.859544675035879
2020-04-18;3.4529421116862284
2020-04-19;6.3397715014380465
2020-04-20;8.341284329191733
2020-04-21;8.789403094412576
2020-04-22;11.50751057226805
2020-04-23;21.909116049115898
2020-04-24;27.762087019647936
2020-04-25;17.553700473622197
2020-04-26;13.568565508154062
2020-04-27;5.238403908565102
2020-04-28;5.368336889636871
2020-04-29;5.221428528210147
2020-04-30;5.117363343782
2020-05-01;5.051706812034726
2020-05-02;7.151547384497827
2020-05-03;8.065379568879122
2020-05-04;7.1470279212991255
2020-05-05;8.204597685315631
2020-05-06;15.004488038086336
2020-05-07;9.092822792979883
2020-05-08;5.266490730656001
2020-05-09;4.061124205333822
2020-05-10;4.2555599883904
2020-05-11;5.07845725598136
2020-05-12;5.733359270576759
2020-05-13;5.803760561247552
2020-05-14;5.832176938662001
2020-05-15;6.223894258109186
2020-05-16;6.37020206952036
2020-05-17;7.336507775508267
2020-05-18;12.926788682561822
2020-05-19;17.777777778781804
2020-05-20;17.777777777776112
2020-05-21;14.092845083426063
2020-05-22;17.77777777777774
2020-05-23;12.676976073779164
