datetime;PE
2020-03-26;0.7058940957962789
2020-03-27;0.9048531239420475
2020-03-28;1.2268592402757728
2020-03-29;1.4125716721685115
2020-03-30;1.2945024137276973
2020-03-31;1.9784651782592817
2020-04-01;2.028757074992222
2020-04-02;1.6953527008517204
2020-04-03;3.9540775876007874
2020-04-04;1.1637385083250513
2020-04-05;1.4363377232303804
2020-04-06;1.1161077433980047
2020-04-07;1.439289916506147
2020-04-08;1.448520760962511
2020-04-09;1.924036977214264
2020-04-10;1.1251215242249333
2020-04-11;1.2921422886770733
2020-04-12;1.6189210150489626
2020-04-13;1.8915948085041825
2020-04-14;1.999999999999877
2020-04-15;2.0
2020-04-16;2.0
2020-04-17;1.9999999999999967
2020-04-18;1.7282654028267024
2020-04-19;1.7278888127028187
2020-04-20;1.5159619615602191
2020-04-21;1.2454192091874585
2020-04-22;1.4664498434100774
2020-04-23;0.8422186788815936
2020-04-24;1.4883916671118207
2020-04-25;1.509486932781573
2020-04-26;1.4583531870919568
2020-04-27;1.421412892423382
2020-04-28;0.9593012333363177
2020-04-29;2.6272865337332405
2020-04-30;2.885145054620275
2020-05-01;3.530554401142883
2020-05-02;5.380621504390144
2020-05-03;6.125649577198832
2020-05-04;3.962424215253135
2020-05-05;6.199979070889791
2020-05-06;2.6371892512204167
2020-05-07;6.501364022194683
2020-05-08;3.3270882706500333
2020-05-09;6.1736035359490335
2020-05-10;7.761785175493267
2020-05-11;3.293042026265987
2020-05-12;4.376013066900729
2020-05-13;8.001668674996326
2020-05-14;4.70655137305074
2020-05-15;9.134330995701532
2020-05-16;6.81047877475551
2020-05-17;6.201444293512456
2020-05-18;7.3205327347222955
2020-05-19;7.870866446895317
2020-05-20;4.931191179740568
2020-05-21;3.9531673815219106
2020-05-22;5.380535561830786
2020-05-23;4.921233460290675
