datetime;BA
2020-03-20;13.784537523097551
2020-03-21;15.354237399133702
2020-03-22;9.529230655898505
2020-03-23;6.67430272956995
2020-03-24;4.764329807240176
2020-03-25;2.431648284064248
2020-03-26;2.063992330160569
2020-03-27;5.184907912734363
2020-03-28;5.186267121674689
2020-03-29;5.587278744110628
2020-03-30;6.429538929433552
2020-03-31;5.780486709107873
2020-04-01;
2020-04-02;4.292167023848073
2020-04-03;3.5589802054506876
2020-04-04;3.7114784147294846
2020-04-05;5.361614901576769
2020-04-06;4.674932077629652
2020-04-07;4.4239254407571105
2020-04-08;3.182947036871987
2020-04-09;3.9261875987941064
2020-04-10;4.857266839965651
2020-04-11;3.115227530645088
2020-04-12;7.151061994789394
2020-04-13;7.000852536234514
2020-04-14;7.146772426344032
2020-04-15;9.906014440286391
2020-04-16;9.387313515803253
2020-04-17;10.666037001025138
2020-04-18;9.955987113334624
2020-04-19;9.860020323668959
2020-04-20;8.502678315184768
2020-04-21;8.037095571276534
2020-04-22;5.891381978854541
2020-04-23;8.136398975921496
2020-04-24;8.1274619746442
2020-04-25;7.059093753441259
2020-04-26;6.1894647122116915
2020-04-27;8.03829405523168
2020-04-28;8.079879836561581
2020-04-29;10.862199816203917
2020-04-30;8.705377675158292
2020-05-01;9.14548309505379
2020-05-02;9.968927318015648
2020-05-03;12.118906491930451
2020-05-04;10.0586654881568
2020-05-05;11.980007011313356
2020-05-06;12.861157053704899
2020-05-07;12.974411310360006
2020-05-08;11.792766093689716
2020-05-09;10.35219419219332
2020-05-10;10.158527277214493
2020-05-11;10.72527310696175
2020-05-12;11.085610382860397
2020-05-13;11.620755359726962
2020-05-14;11.965152222821226
2020-05-15;11.389479646102465
2020-05-16;11.754244122318514
2020-05-17;10.150340257624666
2020-05-18;12.593890568304325
2020-05-19;14.389170151823715
2020-05-20;12.00734150116836
2020-05-21;10.550040713356054
2020-05-22;8.261558323663136
2020-05-23;9.603894121531921
