datetime;AC
2020-04-02;1.0107897022234682
2020-04-03;0.8888888888889024
2020-04-04;4.894040824562778
2020-04-05;10.529727384402106
2020-04-06;9.7574511584197
2020-04-07;17.777777786258095
2020-04-08;17.77777777777777
2020-04-09;17.77777777777778
2020-04-10;17.793029424168132
2020-04-11;17.77777777780393
2020-04-12;21.267571105219805
2020-04-13;19.784355440803
2020-04-14;24.91685829084453
2020-04-15;25.182561900059344
2020-04-16;8.626599613150466
2020-04-17;12.833182658696217
2020-04-18;8.396019547082247
2020-04-19;4.11475974609209
2020-04-20;4.515492261423084
2020-04-21;3.810867715708061
2020-04-22;3.1986285413222464
2020-04-23;3.486242265186234
2020-04-24;4.330237448953674
2020-04-25;5.407758086553838
2020-04-26;5.499920751920927
2020-04-27;7.401539084890915
2020-04-28;8.350298381221155
2020-04-29;18.34736392641246
2020-04-30;19.878879999793902
2020-05-01;18.721907734944594
2020-05-02;17.945593504852486
2020-05-03;22.65181926658072
2020-05-04;13.31841311364766
2020-05-05;9.584449712110962
2020-05-06;5.522121493642461
2020-05-07;3.271270477273661
2020-05-08;2.7541669715699313
2020-05-09;5.007674604991198
2020-05-10;1.3515693339464767
2020-05-11;2.4500637620313195
2020-05-12;3.4309815993562545
2020-05-13;3.95405480554756
2020-05-14;8.42513029510748
2020-05-15;8.160113718119955
2020-05-16;13.127055394657756
2020-05-17;17.636386147943817
2020-05-18;18.901988117710665
2020-05-19;17.0102974240615
2020-05-20;22.069477980717778
2020-05-21;25.70732732058527
2020-05-22;16.927142565825445
2020-05-23;17.707925381870986
