datetime;RR
2020-04-05;1.826349034801785
2020-04-06;1.2222004465732927
2020-04-07;1.0151328793035395
2020-04-08;0.6572542022340713
2020-04-09;0.8202131996707108
2020-04-10;1.4180777398414566
2020-04-11;1.9681215658483417
2020-04-12;3.619472389664014
2020-04-13;2.3085990316476908
2020-04-14;1.7790860813158098
2020-04-15;3.8589734255389683
2020-04-16;4.003574894668778
2020-04-17;5.1994006571413385
2020-04-18;13.827808506835789
2020-04-19;4.19601480928711
2020-04-20;6.253611982289247
2020-04-21;2.679405912078511
2020-04-22;2.587217421543895
2020-04-23;1.7904815388022657
2020-04-24;1.7818715430212293
2020-04-25;2.3653925416079606
2020-04-26;1.6174625946061987
2020-04-27;1.9480146992105292
2020-04-28;3.1870464859759084
2020-04-29;4.585760498594353
2020-04-30;3.7184359732780448
2020-05-01;6.9433156107525305
2020-05-02;12.357069666602094
2020-05-03;14.47188006589117
2020-05-04;4.01118048308133
2020-05-05;8.65168919364109
2020-05-06;11.20619757139324
2020-05-07;2.2768591339158357
2020-05-08;1.9821867223633454
2020-05-09;1.580538050237752
2020-05-10;6.917915190884135
2020-05-11;3.998693035336813
2020-05-12;5.309382874174367
2020-05-13;3.1433716966120375
2020-05-14;4.054034113934943
2020-05-15;6.357146130572639
2020-05-16;4.897866870859159
2020-05-17;9.241193139391687
2020-05-18;9.30885978930557
2020-05-19;9.153608197785886
2020-05-20;10.129314133937006
2020-05-21;8.538345839215523
2020-05-22;7.1698750287846975
2020-05-23;6.356433766104943
