datetime;ES
2020-03-20;
2020-03-21;12.252010437588194
2020-03-22;11.826761050473968
2020-03-23;4.304696516249568
2020-03-24;2.023230835425961
2020-03-25;1.6614772686844925
2020-03-26;1.5786581624685192
2020-03-27;1.2880735138326767
2020-03-28;1.3659857884107818
2020-03-29;1.5559211429964601
2020-03-30;1.621951943841518
2020-03-31;1.8336132232796225
2020-04-01;3.056713184306854
2020-04-02;5.725327941490037
2020-04-03;9.481352885476602
2020-04-04;4.612771760881319
2020-04-05;2.6654370107201357
2020-04-06;1.6054964207049474
2020-04-07;5.360435220246179
2020-04-08;1.356196680634744
2020-04-09;1.8790658113011829
2020-04-10;2.908347608638762
2020-04-11;3.7026393471735712
2020-04-12;3.918847675044842
2020-04-13;4.000960286813536
2020-04-14;4.9535880542836175
2020-04-15;4.188679249384347
2020-04-16;13.760679775246807
2020-04-17;14.074566404929753
2020-04-18;8.592918799925158
2020-04-19;4.6170902792898545
2020-04-20;3.6113361488719318
2020-04-21;1.6914855255740533
2020-04-22;1.7559110944249825
2020-04-23;1.7089588030348957
2020-04-24;5.224532328622635
2020-04-25;5.0501559128697835
2020-04-26;7.485242696794432
2020-04-27;8.180023043654545
2020-04-28;12.520627890453323
2020-04-29;14.820657622646284
2020-04-30;15.45365238843339
2020-05-01;13.38874632359517
2020-05-02;10.7533728416427
2020-05-03;5.877448134764054
2020-05-04;5.607542755552968
2020-05-05;6.267310501831072
2020-05-06;7.355561751403514
2020-05-07;8.463513613099542
2020-05-08;9.393707434327494
2020-05-09;9.569331535746839
2020-05-10;11.177721549480268
2020-05-11;17.175133558378512
2020-05-12;15.949680181396568
2020-05-13;16.27687906237593
2020-05-14;15.81632302489509
2020-05-15;13.338453130331233
2020-05-16;12.36476733771056
2020-05-17;13.468238938060285
2020-05-18;14.323396543090757
2020-05-19;15.199663238480605
2020-05-20;14.394482157187786
2020-05-21;12.74590606755243
2020-05-22;11.235001292516527
2020-05-23;11.286896958722597
