datetime;RS
2020-03-24;2.323682524450473
2020-03-25;2.4382751435665964
2020-03-26;2.5587072542996756
2020-03-27;4.938765412597257
2020-03-28;4.688633554749575
2020-03-29;5.048245354750355
2020-03-30;3.976871654587251
2020-03-31;1.054378780291221
2020-04-01;2.6887516905525617
2020-04-02;2.116804714972317
2020-04-03;2.3865932605517237
2020-04-04;3.4184880223016134
2020-04-05;5.4255905507392415
2020-04-06;3.8955795398796824
2020-04-07;5.354675213173809
2020-04-08;4.965868136094393
2020-04-09;6.189637445835795
2020-04-10;6.811076280780743
2020-04-11;7.613896683332328
2020-04-12;10.761568581231641
2020-04-13;17.77777777777853
2020-04-14;17.77777777779122
2020-04-15;18.052992160498977
2020-04-16;18.02958783303264
2020-04-17;17.777777777889394
2020-04-18;17.777777777776137
2020-04-19;17.777777777777608
2020-04-20;17.777777777778134
2020-04-21;17.777777777778276
2020-04-22;17.777777777778198
2020-04-23;17.777777777777903
2020-04-24;17.77777777777777
2020-04-25;17.777777777778116
2020-04-26;17.77777777777777
2020-04-27;17.777777777777676
2020-04-28;17.777777777777782
2020-04-29;17.777777777778347
2020-04-30;17.777777777777775
2020-05-01;17.777777777786753
2020-05-02;18.833608477854444
2020-05-03;14.996219669090543
2020-05-04;16.84608709988261
2020-05-05;17.777777777786234
2020-05-06;17.58722137132405
2020-05-07;16.531582906011852
2020-05-08;15.934986499849813
2020-05-09;15.786805662609623
2020-05-10;12.81221727326315
2020-05-11;13.489158085656436
2020-05-12;12.608400240367988
2020-05-13;14.347981490318306
2020-05-14;16.852576368743314
2020-05-15;13.014685649592481
2020-05-16;16.20311790531674
2020-05-17;13.721566755542398
2020-05-18;17.777777777777786
2020-05-19;17.931532614858924
2020-05-20;17.22678901503561
2020-05-21;17.171896865083802
2020-05-22;21.027404171102013
2020-05-23;14.899257410703132
