datetime;AP
2020-04-03;0.2348632528848205
2020-04-04;0.25091974364201003
2020-04-05;0.2712357945768856
2020-04-06;0.31810672387992933
2020-04-07;0.3556642250366858
2020-04-08;0.36851544008208204
2020-04-09;0.34849347986994583
2020-04-10;0.3809137651987967
2020-04-11;0.3479464281150158
2020-04-12;0.4343985397545309
2020-04-13;0.4237482530574901
2020-04-14;0.6573431146394753
2020-04-15;0.485246607431615
2020-04-16;0.5031720242406598
2020-04-17;0.696786865234375
2020-04-18;0.3932004765597014
2020-04-19;0.696786865234375
2020-04-20;0.36093931461067086
