datetime;SE
2020-03-29;0.676391089853199
2020-03-30;0.5644799048312423
2020-03-31;0.19156009320261552
2020-04-01;0.18518518518518534
2020-04-02;2.2222222222222223
2020-04-03;0.18518518520209748
2020-04-04;2.2222222222223396
2020-04-05;2.222222222222641
2020-04-06;2.606504792725185
2020-04-07;2.222222222222201
2020-04-08;2.222222222222264
2020-04-09;2.222222222222223
2020-04-10;2.2222222222227614
2020-04-11;2.2222222222229924
2020-04-12;2.222222222222219
2020-04-13;2.222222222222223
2020-04-14;2.2222222222222956
2020-04-15;2.222222222222223
2020-04-16;2.222222222222223
2020-04-17;2.222222222222799
2020-04-18;2.2222222222226997
2020-04-19;2.2222222222222214
2020-04-20;2.222222222222322
2020-04-21;2.222222222224131
2020-04-22;2.222222222222223
2020-04-23;2.2222222222222285
2020-04-24;2.680979793773818
2020-04-25;3.5118942974404166
2020-04-26;3.6752818006488126
2020-04-27;2.5676177929190223
2020-04-28;4.463055004199903
2020-04-29;5.164071187097797
2020-04-30;5.732292904525339
2020-05-01;6.002658927745526
2020-05-02;4.405740172023833
2020-05-03;4.293142321354186
2020-05-04;2.9515419408162047
