datetime;PI
2020-04-03;0.8509181200983961
2020-04-04;0.7291048161595867
2020-04-05;1.041400507221116
2020-04-06;1.848820968472522
2020-04-07;3.5614409658995476
2020-04-08;2.4188255751471517
2020-04-09;2.8613318875925806
2020-04-10;5.031255497882781
2020-04-11;3.7010377020616136
2020-04-12;1.9262595409524734
2020-04-13;1.8781340679680465
2020-04-14;1.535059878303783
2020-04-15;2.710424064710258
2020-04-16;3.921478332338646
2020-04-17;1.8396695329908006
2020-04-18;2.6587486764780786
2020-04-19;2.0395004211122
2020-04-20;1.5327807572674952
2020-04-21;2.4040415687559498
2020-04-22;1.9866320952493086
2020-04-23;1.0520627872381023
2020-04-24;1.0818813544248878
2020-04-25;1.4320349474053649
2020-04-26;1.322839025706913
2020-04-27;1.8109905567851583
2020-04-28;2.713272596377081
2020-04-29;1.40349769721698
2020-04-30;1.6182994717721766
2020-05-01;1.428504325442083
2020-05-02;1.6885157259402692
2020-05-03;1.5121470595693143
2020-05-04;3.238648553487985
2020-05-05;1.846144946248117
2020-05-06;1.8705439494326421
2020-05-07;3.339370948004464
2020-05-08;1.193084074680767
2020-05-09;2.5749483883638447
2020-05-10;1.3942345773610256
2020-05-11;1.6988589696756164
2020-05-12;3.8299163231317372
2020-05-13;2.235298591780477
2020-05-14;2.9980668214004216
2020-05-15;4.502269341045629
2020-05-16;6.682556174141071
2020-05-17;4.558364331998481
2020-05-18;2.327335411015876
2020-05-19;7.728302862822853
2020-05-20;2.5721405444695824
2020-05-21;4.4848861693083695
2020-05-22;7.472886555742099
2020-05-23;3.6329301295951035
