datetime;PR
2020-03-26;1.9999999999999998
2020-03-27;1.9999999999999998
2020-03-28;1.9245796526837362
2020-03-29;1.4748262703836592
2020-03-30;1.1928492193475262
2020-03-31;2.334295729747896
2020-04-01;1.9999999999999998
2020-04-02;1.2994027435958018
2020-04-03;1.6092497743129752
2020-04-04;1.221813032692895
2020-04-05;0.970231597688891
2020-04-06;1.344708077379036
2020-04-07;1.116919211883462
2020-04-08;0.9651006914177056
2020-04-09;1.0170882728174282
2020-04-10;1.294583402489264
2020-04-11;0.6820445130725212
2020-04-12;1.2442031024827607
2020-04-13;1.6046673994246676
2020-04-14;1.7160062426919311
2020-04-15;2.606910947132035
2020-04-16;4.363583401399156
2020-04-17;6.6416800405271434
2020-04-18;8.786006968585683
2020-04-19;6.696576780622918
2020-04-20;10.0681454910325
2020-04-21;9.558299599315214
2020-04-22;9.839684933660813
2020-04-23;9.941390370321985
2020-04-24;10.016765543228075
2020-04-25;9.98653788761887
2020-04-26;9.710421773690134
2020-04-27;10.014103168978554
2020-04-28;10.002070916759907
2020-04-29;10.00080271003524
2020-04-30;10.02739207593775
2020-05-01;9.975226379099135
2020-05-02;5.7814860767100935
2020-05-03;8.75218012932767
2020-05-04;8.746087618992682
2020-05-05;10.014308934949783
2020-05-06;9.567304516086182
2020-05-07;10.040925888920839
2020-05-08;10.059393743923463
2020-05-09;9.953297363999074
2020-05-10;7.777826129656769
2020-05-11;9.99959731038579
2020-05-12;10.005420458773079
2020-05-13;10.044813129979868
2020-05-14;11.045234194949684
2020-05-15;8.925153987064121
2020-05-16;9.996125738126963
2020-05-17;10.004175170714545
2020-05-18;9.878800452061233
2020-05-19;9.678826250616927
2020-05-20;9.934685190306661
2020-05-21;9.573399065790717
2020-05-22;6.265520579060284
2020-05-23;9.986289174143067
