datetime;MS
2020-03-30;0.8616998302447365
2020-03-31;1.1016105884339185
2020-04-01;1.2455547277248522
2020-04-02;1.499178845281091
2020-04-03;1.7053816233151877
2020-04-04;2.3336669892130923
2020-04-05;2.47583093365817
2020-04-06;3.2553219152290462
2020-04-07;2.037374599561069
2020-04-08;2.9291524776899296
2020-04-09;3.2191559820070377
2020-04-10;4.401921517005191
2020-04-11;3.387197610113708
2020-04-12;3.4545667597318523
2020-04-13;3.0784040383757216
2020-04-14;3.321108054997236
2020-04-15;7.790915310773289
2020-04-16;7.614246676566843
2020-04-17;17.619611398743675
2020-04-18;8.04507261267822
2020-04-19;6.405946155312831
2020-04-20;7.53199938819335
2020-04-21;4.315867121758833
2020-04-22;4.232139295185784
2020-04-23;5.87555884615538
2020-04-24;7.893272678715495
2020-04-25;7.007487308288915
2020-04-26;9.836376137371696
2020-04-27;4.708139028890954
2020-04-28;9.97085195516788
2020-04-29;9.294576501330262
2020-04-30;8.57240333081319
2020-05-01;9.968364207801484
2020-05-02;9.41503109836743
2020-05-03;9.884956750197771
2020-05-04;9.635689455012873
2020-05-05;9.973566288983589
2020-05-06;9.909042414219023
2020-05-07;9.822461259241154
2020-05-08;10.768379330598009
2020-05-09;9.928104031060931
2020-05-10;8.741331322583916
2020-05-11;7.386100763387068
2020-05-12;5.587513257442565
2020-05-13;7.517600616533193
2020-05-14;5.988801685305627
2020-05-15;3.571388384194032
2020-05-16;11.951851526979674
2020-05-17;6.3992396571855075
2020-05-18;3.8853265845785616
2020-05-19;9.132369216909929
2020-05-20;7.80567315857281
2020-05-21;6.624388367287844
2020-05-22;2.9881288855255344
2020-05-23;4.1142683405465545
