datetime;MA
2020-04-04;4.976811177590517
2020-04-05;2.299704356594555
2020-04-06;3.6288898274298456
2020-04-07;2.74382647338327
2020-04-08;5.469938652658324
2020-04-09;5.2481552157446325
2020-04-10;3.8041374227082962
2020-04-11;5.341742847154138
2020-04-12;3.3622287744770847
2020-04-13;1.859013552281028
2020-04-14;1.107364795697915
2020-04-15;4.844060546312289
2020-04-16;1.811236579254604
2020-04-17;2.305532663962333
2020-04-18;6.3497938076618174
2020-04-19;6.769480903919108
2020-04-20;4.547110258094343
2020-04-21;2.506392959946034
2020-04-22;2.2531243836572705
2020-04-23;1.5972697292522977
2020-04-24;1.270577211064023
2020-04-25;1.828393731702258
2020-04-26;2.303840950454129
2020-04-27;7.065873329889498
2020-04-28;4.592806927140022
2020-04-29;8.188807087419283
2020-04-30;8.891694130116203
2020-05-01;8.34077636598061
2020-05-02;10.490067951224685
2020-05-03;6.679614713499732
2020-05-04;5.718015648421343
2020-05-05;6.3723289018718505
2020-05-06;9.92085740907346
2020-05-07;10.542194342321563
2020-05-08;6.575484351655091
2020-05-09;8.139751933446744
2020-05-10;9.539566878513911
2020-05-11;10.45701774555492
2020-05-12;7.178347421563593
2020-05-13;6.768978678410091
2020-05-14;5.655204407866592
2020-05-15;6.233985608770381
2020-05-16;6.469937687609769
2020-05-17;6.378647415510596
2020-05-18;7.216498758775667
2020-05-19;9.674166001841805
2020-05-20;8.224949298068111
2020-05-21;12.94831184978251
2020-05-22;14.747243725748929
2020-05-23;9.004429299598184
