datetime;PA
2020-04-02;3.301866592670523
2020-04-03;3.3613469048740203
2020-04-04;3.4181668230934696
2020-04-05;3.7821663680753073
2020-04-06;2.946028469320705
2020-04-07;3.1391658982604946
2020-04-08;5.25413975784014
2020-04-09;2.223867828020895
2020-04-10;2.8131491347688646
2020-04-11;1.8703246331619392
2020-04-12;1.4250362348570813
2020-04-13;2.3658840145487776
2020-04-14;3.390785438269222
2020-04-15;5.439021382785468
2020-04-16;5.8880395924284255
2020-04-17;3.764562106673705
2020-04-18;8.56174806034152
2020-04-19;4.479566562154957
2020-04-20;5.949093657474358
2020-04-21;3.9507386395388098
2020-04-22;3.4799845054156537
2020-04-23;2.4758743430839276
2020-04-24;2.97649973291557
2020-04-25;1.9359570435259545
2020-04-26;2.7812813978410706
2020-04-27;1.9418294192529086
2020-04-28;1.5416639784404726
2020-04-29;1.1526076538347039
2020-04-30;2.2150251001190657
2020-05-01;2.53319060462047
2020-05-02;4.610797928216032
2020-05-03;4.751169207106901
2020-05-04;4.437635073236378
2020-05-05;4.05938084490171
2020-05-06;4.103078121655581
2020-05-07;5.336412930286676
2020-05-08;5.564420689045302
2020-05-09;6.561034051512738
2020-05-10;5.840085724911984
2020-05-11;5.825258069612857
2020-05-12;5.755000794611411
2020-05-13;6.987238172562305
2020-05-14;5.89932587824113
2020-05-15;7.015511434279771
2020-05-16;7.049298389986366
2020-05-17;5.915990703337591
2020-05-18;5.648978884537586
2020-05-19;6.094096902418908
2020-05-20;4.540886122782751
2020-05-21;4.608337718868037
2020-05-22;4.731478466268892
2020-05-23;5.186943121303771
